# RELEASE GROUPS    STARTING LENGTH    NUMBER INTERVALS    INTERVAL LENGTH
        54            2                54                2
#
#
# TAG RECOVERIES
#    1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54
     8  28   4  15  35 131  19  80 119  82  20 143 176 111 301 177 197 103  15   0 129  40 118  71 119 110 123 136  94 142 149 105 113 127  65  25  65  68   3   0   2   0  74   4  24 150   0  55  74   5   4  75   0   0
#
#
#---------------------------------
#   1 - RELEASE REGION    YEAR    MONTH
#   8 - RELEASE REGION    YEAR    MONTH
             2         1980        5
0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 21 87 55 86 493 920 410 155 184 294 235 204 267 232 72 10 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
#
#
# LENGTH RELEASE    FISHERY    RECAP YEAR    RECAP MONTH    NUMBER
        36             7         1980             11            2
        36             7         1981              2            1
        36             7         1981              5            1
        38             7         1980              5            2
        38             7         1980              8            1
        38             7         1980             11            3
        38             7         1981              2            1
        38             7         1981              5            1
        40             7         1980              8            1
        40             7         1980             11            3
        40             7         1981              8            1
        40             7         1982              8            1
        42             7         1980              5           12
        42             7         1980              8           18
        42             7         1980             11            5
        42             7         1981              2            8
        42             7         1981              5            4
        42             7         1981              8            4
        42             7         1982              8            1
        42             9         1981              5            1
        44             6         1981              2            1
        44             7         1980              5           27
        44             7         1980              8           43
        44             7         1980             11           28
        44             7         1981              2           17
        44             7         1981              5           16
        44             7         1981              8           19
        44             7         1982              8            1
        46             6         1981              5            1
        46             7         1980              5            7
        46             7         1980              8           18
        46             7         1980             11           13
        46             7         1981              2           11
        46             7         1981              5            4
        46             7         1981              8           10
        46             7         1981             11            2
        46             9         1982              8            1
        48             7         1980              5            3
        48             7         1980              8            9
        48             7         1980             11            4
        48             7         1981              2            3
        48             7         1981              5            4
        48             7         1981              8            2
        50             6         1981              2            2
        50             7         1980              8            6
        50             7         1980             11            8
        50             7         1981              2            1
        50             7         1981              5            2
        50             7         1981              8            3
        50             9         1981              2            1
        52             6         1981              8            1
        52             7         1980              5            1
        52             7         1980              8            8
        52             7         1980             11            8
